season,team_name,team_abbr,playoff_games,po_ft_rate,season_label,reg_ft_rate,reg_ft_rate_allowed,po_ft_rate_allowed,ft_rate_change,ft_rate_allowed_change,net_ft_rate_swing
2016,Toronto Raptors,TOR,20,0.300982800982801,2015-16,0.3283850652271705,0.26871657754010697,0.29838187702265373,-0.02740226424436948,0.02966529948254676,-0.05706756372691624
2017,Atlanta Hawks,ATL,6,0.3431952662721893,2016-17,0.2947383636889274,0.23172606568832985,0.27884615384615385,0.04845690258326191,0.04712008815782401,0.0013368144254378989
2017,Boston Celtics,BOS,18,0.2419035029742234,2016-17,0.27271424476927486,0.29026297085998576,0.28429423459244535,-0.03081074179505147,-0.005968736267540409,-0.024842005527511063
2017,Chicago Bulls,CHI,6,0.2404040404040404,2016-17,0.25878728469402046,0.2190449359064657,0.21428571428571427,-0.01838324428998006,-0.00475922162075143,-0.01362402266922863
2017,Cleveland Cavaliers,CLE,18,0.3157190635451505,2016-17,0.2747379003303174,0.2257001647446458,0.23547979797979798,0.04098116321483308,0.009779633235152185,0.031201529979680898
2017,Golden State Warriors,GSW,17,0.2920892494929006,2016-17,0.25910364145658266,0.26056627000410343,0.2770448548812665,0.03298560803631795,0.016478584877163083,0.016507023159154866
2017,Houston Rockets,HOU,11,0.3037433155080214,2016-17,0.3043903803131991,0.2496568762009333,0.26727642276422764,-0.0006470648051776773,0.01761954656329434,-0.01826661136847202
2017,Indiana Pacers,IND,4,0.2471264367816092,2016-17,0.2612898571634685,0.2857142857142857,0.32326283987915405,-0.014163420381859276,0.03754855416486835,-0.05171197454672763
2017,Los Angeles Clippers,LAC,7,0.3116883116883117,2016-17,0.3120234604105572,0.2738962708958423,0.30754716981132074,-0.00033514872224549297,0.033650898915478455,-0.03398604763772395
2017,Memphis Grizzlies,MEM,6,0.2634989200863931,2016-17,0.2798365917712285,0.34060324825986077,0.32181425485961124,-0.01633767168483541,-0.018788993400249532,0.002451321715414123
2017,Milwaukee Bucks,MIL,6,0.26652452025586354,2016-17,0.2738644825018615,0.27932960893854747,0.34684684684684686,-0.007339962245997977,0.06751723790829939,-0.07485720015429737
2017,Oklahoma City Thunder,OKC,5,0.30892448512585813,2016-17,0.2947412470358488,0.2852243498142326,0.4009546539379475,0.01418323809000932,0.11573030412371488,-0.10154706603370556
2017,Portland Trail Blazers,POR,4,0.2709497206703911,2016-17,0.2748264626717665,0.3073985004951195,0.32664756446991405,-0.003876742001375444,0.019249063974794534,-0.023125805976169977
2017,San Antonio Spurs,SAS,16,0.27653429602888085,2016-17,0.2631118881118881,0.2493054540137447,0.25549658832448824,0.013422407916992729,0.006191134310743529,0.0072312736062492
2017,Toronto Raptors,TOR,10,0.2830188679245283,2016-17,0.29314830875975717,0.2864284664019997,0.2947903430749682,-0.010129440835228876,0.008361876672968505,-0.01849131750819738
2017,Utah Jazz,UTA,11,0.29814385150812067,2016-17,0.28779739063699156,0.25301204819277107,0.2963386727688787,0.010346460871129115,0.04332662457610764,-0.03298016370497853
2017,Washington Wizards,WAS,13,0.28094820017559263,2016-17,0.25388818831441784,0.2840355402694182,0.31675874769797424,0.027060011861174793,0.032723207428556056,-0.005663195567381263
